run_id,scenario_id,equation_id,equation_family,entity_type,entity_id,period_id,lhs_value,rhs_value,absolute_residual,relative_residual,tolerance,pass_flag
CAP-001-MINIATURE,BASE,OPENING_INVENTORY_CONSISTENCY|POOL:NODE-0006/MAT-0002|ALL,OPENING_INVENTORY_CONSISTENCY,POOL,NODE-0006/MAT-0002,,48.0,48.0,0.0,0.0,0.001,true
CAP-001-MINIATURE,BASE,OPENING_INVENTORY_CONSISTENCY|POOL:NODE-0011/MAT-0005|ALL,OPENING_INVENTORY_CONSISTENCY,POOL,NODE-0011/MAT-0005,,246.0,246.0,0.0,0.0,0.001,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0001/MAT-0001|shipped:LANE-00001|P01,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0001/MAT-0001|shipped:LANE-00001,P01,4.0,4.0,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0001/MAT-0001|shipped:LANE-00002|P01,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0001/MAT-0001|shipped:LANE-00002,P01,4.0,4.0,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0002/MAT-0002|shipped:LANE-00003|P01,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0002/MAT-0002|shipped:LANE-00003,P01,2.0,2.0,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0002/MAT-0002|shipped:LANE-00004|P01,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0002/MAT-0002|shipped:LANE-00004,P01,2.0,2.0,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0003/MAT-0002|shipped:LANE-00005|P01,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0003/MAT-0002|shipped:LANE-00005,P01,3.0,3.0,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0003/MAT-0002|shipped:LANE-00006|P01,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0003/MAT-0002|shipped:LANE-00006,P01,3.0,3.0,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0004/MAT-0001|consumed:MAT-0001|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0004/MAT-0001|consumed:MAT-0001,P02,4.3,4.3,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0004/MAT-0003|shipped:LANE-00007|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0004/MAT-0003|shipped:LANE-00007,P02,5.5,5.5,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0005/MAT-0001|consumed:MAT-0001|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0005/MAT-0001|consumed:MAT-0001,P02,4.35,4.35,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0005/MAT-0003|shipped:LANE-00008|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0005/MAT-0003|shipped:LANE-00008,P02,6.05,6.05,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0006/MAT-0002|consumed:MAT-0002|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0006/MAT-0002|consumed:MAT-0002,P02,2.68,2.68,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0006/MAT-0004|shipped:LANE-00009|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0006/MAT-0004|shipped:LANE-00009,P02,4.5,4.5,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0007/MAT-0002|consumed:MAT-0002|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0007/MAT-0002|consumed:MAT-0002,P02,3.38,3.38,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0007/MAT-0004|shipped:LANE-00010|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0007/MAT-0004|shipped:LANE-00010,P02,4.95,4.95,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0008/MAT-0002|consumed:MAT-0002|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0008/MAT-0002|consumed:MAT-0002,P02,2.4,2.4,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0008/MAT-0004|shipped:LANE-00011|P02,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0008/MAT-0004|shipped:LANE-00011,P02,4.4,4.4,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0009/MAT-0003|consumed:MAT-0003|P03,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0009/MAT-0003|consumed:MAT-0003,P03,5.7,5.7,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0009/MAT-0004|consumed:MAT-0004|P03,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0009/MAT-0004|consumed:MAT-0004,P03,4.7,4.7,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0009/MAT-0005|shipped:LANE-00012|P03,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0009/MAT-0005|shipped:LANE-00012,P03,18.7,18.7,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0009/MAT-0005|shipped:LANE-00013|P03,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0009/MAT-0005|shipped:LANE-00013,P03,18.7,18.7,0.0,0.0,1e-05,true
CAP-001-MINIATURE,BASE,OUTFLOW_COMMON_UNIT_COST|POOL:NODE-0010/MAT-0003|consumed:MAT-0003|P03,OUTFLOW_COMMON_UNIT_COST,POOL,NODE-0010/MAT-0003|consumed:MAT-0003,P03,6.4,6.4,0.0,0.0,1e-05,true
