incident_id,target_entity_type,target_entity_id,event_type,start_date,end_date,severity,capacity_multiplier,transit_multiplier,cost_multiplier,description
INC-00001,NODE,NODE-0001,OUTAGE,2024-09-01,2024-09-04,MEDIUM,0.463,,1.128,Synthetic outage event affecting NODE-0001; retained as exploratory evidence.
INC-00002,NODE,NODE-0003,ENERGY,2024-09-28,2024-10-02,HIGH,0.868,,1.299,Synthetic energy event affecting NODE-0003; retained as exploratory evidence.
INC-00003,NODE,NODE-0005,QUALITY,2024-10-25,2024-10-30,SEVERE,0.836,,1.278,Synthetic quality event affecting NODE-0005; retained as exploratory evidence.
INC-00004,NODE,NODE-0007,CYBER,2024-11-21,2024-11-27,LOW,0.569,,1.215,Synthetic cyber event affecting NODE-0007; retained as exploratory evidence.
INC-00005,NODE,NODE-0009,OUTAGE,2024-12-18,2024-12-25,MEDIUM,0.781,,1.13,Synthetic outage event affecting NODE-0009; retained as exploratory evidence.
INC-00006,NODE,NODE-0011,ENERGY,2025-01-14,2025-01-22,HIGH,0.635,,1.206,Synthetic energy event affecting NODE-0011; retained as exploratory evidence.
INC-00007,NODE,NODE-0013,QUALITY,2025-02-10,2025-02-19,SEVERE,0.501,,1.059,Synthetic quality event affecting NODE-0013; retained as exploratory evidence.
INC-00008,NODE,NODE-0015,CYBER,2025-03-09,2025-03-19,LOW,0.706,,1.129,Synthetic cyber event affecting NODE-0015; retained as exploratory evidence.
INC-00009,NODE,NODE-0017,OUTAGE,2025-04-05,2025-04-16,MEDIUM,0.52,,1.082,Synthetic outage event affecting NODE-0017; retained as exploratory evidence.
INC-00010,NODE,NODE-0019,ENERGY,2025-05-02,2025-05-14,HIGH,0.836,,1.189,Synthetic energy event affecting NODE-0019; retained as exploratory evidence.
INC-00011,NODE,NODE-0021,QUALITY,2025-05-29,2025-06-11,SEVERE,0.656,,1.24,Synthetic quality event affecting NODE-0021; retained as exploratory evidence.
INC-00012,NODE,NODE-0023,CYBER,2025-06-25,2025-06-27,LOW,0.727,,1.106,Synthetic cyber event affecting NODE-0023; retained as exploratory evidence.
INC-00013,NODE,NODE-0025,OUTAGE,2025-07-22,2025-07-25,MEDIUM,0.553,,1.095,Synthetic outage event affecting NODE-0025; retained as exploratory evidence.
INC-00014,NODE,NODE-0027,ENERGY,2025-08-18,2025-08-22,HIGH,0.836,,1.195,Synthetic energy event affecting NODE-0027; retained as exploratory evidence.
INC-00015,NODE,NODE-0029,QUALITY,2025-09-14,2025-09-19,SEVERE,0.565,,1.11,Synthetic quality event affecting NODE-0029; retained as exploratory evidence.
INC-00016,NODE,NODE-0031,CYBER,2025-10-11,2025-10-17,LOW,0.892,,1.23,Synthetic cyber event affecting NODE-0031; retained as exploratory evidence.
INC-00017,NODE,NODE-0033,OUTAGE,2025-11-07,2025-11-14,MEDIUM,0.763,,1.181,Synthetic outage event affecting NODE-0033; retained as exploratory evidence.
INC-00018,NODE,NODE-0035,ENERGY,2025-12-04,2025-12-12,HIGH,0.716,,1.085,Synthetic energy event affecting NODE-0035; retained as exploratory evidence.
INC-00019,LANE,LANE-00081,PORT,2025-12-31,2026-01-09,SEVERE,,1.631,1.342,Synthetic port event affecting LANE-00081; retained as exploratory evidence.
INC-00020,LANE,LANE-00093,PORT,2026-01-27,2026-02-06,LOW,,1.779,1.285,Synthetic port event affecting LANE-00093; retained as exploratory evidence.
INC-00021,LANE,LANE-00094,PORT,2026-02-23,2026-03-06,MEDIUM,,1.343,1.124,Synthetic port event affecting LANE-00094; retained as exploratory evidence.
INC-00022,LANE,LANE-00095,PORT,2026-03-22,2026-04-03,HIGH,,1.183,1.336,Synthetic port event affecting LANE-00095; retained as exploratory evidence.
INC-00023,LANE,LANE-00096,PORT,2026-04-18,2026-05-01,SEVERE,,1.651,1.102,Synthetic port event affecting LANE-00096; retained as exploratory evidence.
INC-00024,REGION,AFRICA_NORTH,WEATHER,2026-05-15,2026-05-17,LOW,0.837,1.173,1.066,Synthetic weather event affecting AFRICA_NORTH; retained as exploratory evidence.
INC-00025,REGION,AFRICA_SOUTH,WEATHER,2026-06-11,2026-06-14,MEDIUM,0.65,1.625,1.175,Synthetic weather event affecting AFRICA_SOUTH; retained as exploratory evidence.
INC-00026,REGION,AMERICAS_NORTH,WEATHER,2026-07-08,2026-07-12,HIGH,0.504,1.668,1.225,Synthetic weather event affecting AMERICAS_NORTH; retained as exploratory evidence.
INC-00027,REGION,AMERICAS_SOUTH,WEATHER,2026-08-04,2026-08-09,SEVERE,0.488,1.39,1.317,Synthetic weather event affecting AMERICAS_SOUTH; retained as exploratory evidence.
INC-00028,REGION,ASIA_EAST,WEATHER,2026-08-31,2026-09-06,LOW,0.564,1.445,1.231,Synthetic weather event affecting ASIA_EAST; retained as exploratory evidence.
INC-00029,REGION,ASIA_SOUTH,WEATHER,2026-09-27,2026-10-04,MEDIUM,0.653,1.529,1.324,Synthetic weather event affecting ASIA_SOUTH; retained as exploratory evidence.
INC-00030,REGION,ASIA_SOUTHEAST,WEATHER,2026-10-24,2026-11-01,HIGH,0.596,1.201,1.089,Synthetic weather event affecting ASIA_SOUTHEAST; retained as exploratory evidence.
